Mnemonic,Instruction,
LDC1,Load Doubleword to Floating Point,
LDXC1,Load Doubleword Indexed to Floating Point,64-bit FPU Only
LUXC1,Load Doubleword Indexed Unaligned to Floating Point,64-bit FPU Only
LWC1,Load Word to Floating Point,
LWXC1,Load Word Indexed to Floating Point,64-bit FPU Only
PREFX,Prefetch Indexed,
SDC1,Store Doubleword from Floating Point,
SDXC1,Store Doubleword Indexed from Floating Point,64-bit FPU Only
SUXC1,Store Doubleword Indexed Unaligned from Floating Point,64-bit FPU Only
SWC1,Store Word from Floating Point,
SWXC1,Store Word Indexed from Floating Point,64-bit FPU Only
