Mnemonic,Instruction,
CFC1,Move Control Word from Floating Point,
CTC1,Move Control Word to Floating Point,
MFC1,Move Word from Floating Point,
MFHC1,Move Word from High Half of Floating Point Register,Release 2 Only
MOV.fmt,Floating Point Move,
MOVF.fmt,Floating Point Move Conditional on Floating Point False,
MOVN.fmt,Floating Point Move Conditional on Not Zero,
MOVT.fmt,Floating Point Move Conditional on Floating Point True,
MOVZ.fmt,Floating Point Move Conditional on Zero,
MTC1,Move Word to Floating Point,
MTHC1,Move Word to High Half of Floating Point Register,Release 2 Only
